id	rate
01001	3.3     
01003	3.2     
01005	5.7     
01007	4.2     
01009	3.2     
01011	8.9     
01013	5.7     
01015	4.1     
01017	5.8     
01019	4.2     
01021	3.6     
01023	5.6     
01025	6.2     
01027	4.5     
01029	3.5     
01031	3.7     
01033	4.7     
01035	5.7     
01037	5.6     
01039	3.9     
01041	4.0     
01043	3.4     
01045	4.7     
01047	8.2     
01049	4.2     
01051	3.4     
01053	5.0     
01055	4.2     
01057	4.2     
01059	4.6     
01061	3.8     
01063	5.6     
01065	5.3     
01067	4.0     
01069	3.4     
01071	4.5     
01073	4.0     
01075	5.2     
01077	4.2     
01079	4.8     
01081	3.4     
01083	3.7     
01085	7.6     
01087	5.3     
01089	3.3     
01091	4.6     
01093	4.4     
01095	3.5     
01097	4.2     
01099	6.0     
01101	4.2     
01103	4.0     
01105	8.4     
01107	5.1     
01109	4.0     
01111	5.3     
01113	5.9     
01115	3.5     
01117	2.7     
01119	6.8     
01121	5.2     
01123	5.1     
01125	3.3     
01127	4.6     
01129	5.8     
01131	8.7     
01133	4.9     
02013	8.5     
02016	5.7     
02020	5.3     
02050	13.2     
02060	5.4     
02068	5.8     
02070	9.6     
02090	5.7     
02100	8.1     
02110	4.8     
02122	8.2     
02130	6.1     
02150	7.5     
02158	20.8     
02164	6.1     
02170	7.5     
02180	12.1     
02185	6.9     
02188	11.3     
02201	14.3     
02220	5.4     
02232	12.7     
02240	10.7     
02261	8.5     
02280	9.6     
02282	9.6     
02290	13.1     
04001	10.0     
04003	4.5     
04005	4.4     
04007	5.2     
04009	5.1     
04011	3.8     
04012	5.8     
04013	3.6     
04015	4.3     
04017	7.4     
04019	4.1     
04021	5.0     
04023	7.6     
04025	4.0     
04027	15.0     
05001	7.6     
05003	7.5     
05005	5.3     
05007	3.3     
05009	4.9     
05011	7.0     
05013	6.9     
05015	4.3     
05017	8.3     
05019	5.5     
05021	8.1     
05023	5.0     
05025	6.1     
05027	6.0     
05029	4.9     
05031	4.8     
05033	4.5     
05035	6.8     
05037	7.2     
05039	6.5     
05041	9.1     
05043	8.0     
05045	4.4     
05047	4.3     
05049	5.1     
05051	5.2     
05053	4.9     
05055	5.7     
05057	5.4     
05059	5.2     
05061	5.4     
05063	5.5     
05065	6.2     
05067	7.7     
05069	7.8     
05071	5.1     
05073	7.0     
05075	6.8     
05077	9.1     
05079	8.0     
05081	4.5     
05083	4.8     
05085	4.2     
05087	3.6     
05089	5.2     
05091	4.6     
05093	7.8     
05095	7.2     
05097	4.7     
05099	5.5     
05101	5.2     
05103	8.0     
05105	5.0     
05107	8.1     
05109	5.0     
05111	6.7     
05113	4.7     
05115	4.7     
05117	5.6     
05119	4.8     
05121	7.2     
05123	8.9     
05125	4.4     
05127	4.4     
05129	4.7     
05131	4.6     
05133	4.0     
05135	6.7     
05137	5.5     
05139	6.6     
05141	6.0     
05143	3.6     
05145	5.7     
05147	8.3     
05149	4.5     
06001	4.4     
06003	6.4     
06005	5.3     
06007	6.2     
06009	5.9     
06011	12.2     
06013	4.3     
06015	6.9     
06017	4.6     
06019	8.0     
06021	8.0     
06023	5.5     
06025	15.4     
06027	4.6     
06029	7.5     
06031	8.4     
06033	7.7     
06035	7.9     
06037	4.8     
06039	7.0     
06041	3.5     
06043	5.7     
06045	5.2     
06047	9.4     
06049	7.8     
06051	4.4     
06053	6.9     
06055	3.9     
06057	4.4     
06059	3.4     
06061	4.2     
06063	7.7     
06065	5.0     
06067	4.8     
06069	7.2     
06071	4.8     
06073	4.0     
06075	4.2     
06077	7.4     
06079	3.9     
06081	3.7     
06083	4.0     
06085	4.5     
06087	5.6     
06089	6.6     
06091	7.4     
06093	8.0     
06095	4.9     
06097	4.0     
06099	8.0     
06101	8.9     
06103	6.5     
06105	9.9     
06107	8.5     
06109	5.8     
06111	4.3     
06113	5.2     
06115	8.8     
08001	4.8     
08003	4.6     
08005	4.3     
08007	4.1     
08009	3.1     
08011	5.6     
08013	3.7     
08014	4.3     
08015	4.3     
08017	2.7     
08019	4.0     
08021	6.6     
08023	8.4     
08025	6.8     
08027	4.3     
08029	4.0     
08031	4.8     
08033	6.5     
08035	3.6     
08037	3.4     
08039	4.0     
08041	4.6     
08043	5.5     
08045	3.0     
08047	4.0     
08049	3.2     
08051	3.1     
08053	3.1     
08055	6.0     
08057	2.9     
08059	4.2     
08061	3.4     
08063	3.0     
08065	4.2     
08067	3.4     
08069	3.9     
08071	4.0     
08073	3.6     
08075	3.5     
08077	4.0     
08079	4.9     
08081	3.8     
08083	4.4     
08085	4.0     
08087	3.9     
08089	6.1     
08091	3.1     
08093	3.9     
08095	3.4     
08097	3.1     
08099	5.8     
08101	5.6     
08103	2.7     
08105	4.6     
08107	3.2     
08109	6.2     
08111	4.9     
08113	3.4     
08115	3.1     
08117	3.1     
08119	4.3     
08121	3.5     
08123	4.7     
08125	2.6     
09001	3.8     
09003	4.7     
09005	4.0     
09007	3.7     
09009	4.8     
09011	4.1     
09013	3.8     
09015	5.2     
10001	3.2     
10003	3.8     
10005	3.3     
11001	5.8     
12001	2.7     
12003	2.8     
12005	3.1     
12007	2.9     
12009	3.3     
12011	3.1     
12013	3.2     
12015	3.4     
12017	3.8     
12019	3.0     
12021	3.1     
